popularity_rank,returned_spotify_id,wikidata_qid,spotify_name,monthly_listeners,followers,origin_cluster,origin_resolution,spotify_biography_present,biography_keyword_review,matching_musicbrainz_person,other_person_ids_in_musicbrainz_links,eligibility_review,eligibility_source_url,final_status,final_origin,manual_status,review_priority,mapping_tier,fua_code
52,2ycnb8Er79LoH2AsR5ldjh,Q485625,Pet Shop Boys,10634217,2426999,London,reported_place,True,False,,,,,confirmed,London,confirmed,high,strict,UK001F
53,6waa8mKu91GjzD4NlONlNJ,Q282925,The Hollies,10112715,1450461,Manchester,reported_place,True,False,,,,,confirmed,Manchester,confirmed,high,strict,UK008F
54,5lpH0xAS4fVfLkACg9DAuM,Q744087,Wham!,10018855,3400543,London,editorial_city_cluster,True,False,,,,,confirmed,Bushey,not_reviewed,,strict,UK001F
55,536BYVgOnRky0xjsPT96zl,Q777302,Two Door Cinema Club,9884423,2655723,Bangor,reported_place,True,False,,,,,confirmed,Bangor,not_reviewed,,strict,UK012F
56,0RUEHcBiENFEqxgicqS2ig,Q1532854,The Stranglers,9836875,862339,Guildford,reported_place,True,False,,,,,confirmed,Guildford,not_reviewed,,strict,UK033F
57,6hN9F0iuULZYWXppob22Aj,Q748836,Simple Minds,9628717,2504682,Glasgow,reported_place,True,False,,,,,confirmed,Glasgow,not_reviewed,,strict,UK004F
58,2wpWOzQE5TpA0dVnh5YD08,Q927927,Bronski Beat,9566679,730877,London,reported_place,True,False,,,,,confirmed,London,confirmed,high,strict,UK001F
59,4Ly0KABsxlx4fNj63zJTrF,Q28109766,Seafret,9520023,1149369,Bridlington,reported_place,True,False,,,,,confirmed,Bridlington,confirmed,high,strict,UK026F
60,3CkvROUTQ6nRi9yQOcsB50,Q151012,Genesis,9434858,3958098,Godalming,reviewed_multi_place_rule,True,True,,,,,confirmed,Godalming,not_reviewed,,strict,UK033F
61,2urZrEdsq72kx0UzfYN8Yv,Q16011,Spandau Ballet,9335819,1587103,London,editorial_city_cluster,True,False,,,,,confirmed,London Borough of Islington,not_reviewed,,strict,UK001F
62,69MEO1AADKg1IZrq2XLzo5,Q560153,UB40,9327767,2783787,Birmingham,reported_place,True,False,,,,,confirmed,Birmingham,not_reviewed,,strict,UK002F
63,1GhPHrq36VKCY3ucVaZCfo,Q208507,The Chemical Brothers,9143502,2435363,Manchester,reported_place,True,False,,,,,confirmed,Manchester,not_reviewed,,strict,UK008F
64,1fa0cOhromAZdq2xRA4vv8,Q339430,Simply Red,9097250,2960800,Manchester,reported_place,True,False,,,,,confirmed,Manchester,not_reviewed,,strict,UK008F
65,6J7biCazzYhU3gM9j1wfid,Q202041,Jamiroquai,9068742,3053662,London,reported_place,True,False,,,,,confirmed,London,confirmed,high,strict,UK001F
66,6mdiAmATAx73kdxrNrnlao,Q42482,Iron Maiden,9029433,10931269,London,editorial_city_cluster,True,False,,,,,confirmed,Leyton,confirmed,high,strict,UK001F
67,6xeFne1rkxMhKSW3ipvkdV,Q1742953,Toploader,8829850,146489,Eastbourne,reported_place,True,False,,,,,confirmed,Eastbourne,not_reviewed,,strict,UK055F
68,0yNLKJebCb8Aueb54LYya3,Q214990,New Order,8786188,2651294,Manchester,editorial_city_cluster,True,False,,,,,confirmed,Salford,not_reviewed,,strict,UK008F
69,6FXMGgJwohJLUSr5nVlf9X,Q357418,Massive Attack,8692931,2943616,Bristol,reported_place,True,False,,,,,confirmed,Bristol,not_reviewed,,strict,UK011F
70,67ea9eGLXYMsO2eYQRui3w,Q93346,The Who,8659112,6100346,London,reported_place,True,False,,,,,confirmed,London,not_reviewed,,strict,UK001F
71,5VadK1havLhK1OpKYsXv9y,Q63313993,D-Block Europe,8351560,1930307,London,editorial_city_cluster,True,False,,,,,confirmed,Lewisham,not_reviewed,,strict,UK001F
